Designator,Mid X,Mid Y,Rotation,Layer
Audio1,212.320953,-30.255722,0.0,top
Audio2,201.770953,-73.030722,180.0,top
B+/-1,148.475458,-111.006619,0.0,top
C1,145.131458,-130.310619,180.0,top
C1P1,79.779291,-74.781301,270.0,top
C2,133.235458,-128.786619,90.0,top
C2P1,76.962,-74.914,270.0,top
C3,150.761458,-118.118619,180.0,top
C4,129.933458,-121.420619,180.0,top
C5,147.983458,-116.086619,0.0,top
C6,144.355458,-118.458619,0.0,top
C8,137.855458,-126.178619,0.0,top
C9,144.010953,-46.955722,180.0,top
CL1,72.401589,-74.330681,90.0,top
CL10,100.711083,-55.236724,270.0,top
CL11,100.711083,-48.886724,270.0,top
CL12,100.711083,-42.536724,270.0,top
CL13,56.134,-31.496,270.0,top
CL14,107.52612,-107.21612,270.0,top
CL15,104.98612,-129.16112,270.0,top
CL16,106.809112,-151.068171,270.0,top
CL17,71.33112,-150.93612,90.0,top
CL18,70.643738,-128.976639,90.0,top
CL19,70.761599,-106.945937,90.0,top
CL2,72.401589,-67.980681,90.0,top
CL3,72.401589,-61.630681,90.0,top
CL4,72.401589,-55.280681,90.0,top
CL5,72.401589,-48.930681,90.0,top
CL6,72.401589,-42.580681,90.0,top
CL7,100.711083,-74.296301,270.0,top
CL8,100.711083,-67.936724,270.0,top
CL9,100.711083,-61.586724,270.0,top
CN1,128.916958,-111.169499,180.0,top
CN10,92.68238,-86.47038,0.0,top
CN2,140.997867,-111.142666,180.0,top
CN3,165.376838,-111.169499,180.0,top
CN4,151.140953,-58.355722,0.0,top
CN5,88.751723,-158.509734,0.0,top
CN6,176.460953,-85.685722,0.0,top
CN7,88.75992,-97.430397,180.0,top
CN8,164.010953,-85.705722,0.0,top
CN9,79.98238,-86.47038,0.0,top
C_Motor1,71.97088,-98.59188,270.0,top
C_VCC1,96.266,-73.406,180.0,top
C_VCC2,95.996,-77.47,180.0,top
C_VCOMH1,93.472,-75.184,270.0,top
C_VDD1,83.016,-74.168,180.0,top
C_VDD2,83.296,-80.518,180.0,top
D1,151.155274,-130.190038,0.0,top
D10,165.285458,-120.268619,0.0,top
D2,147.984277,-130.14672,0.0,top
D3,156.349458,-129.802619,0.0,top
D4,125.615458,-119.896619,270.0,top
D5,73.87588,-103.67188,0.0,top
D6,207.700953,-30.355722,270.0,top
D7,205.150953,-32.665722,90.0,top
D8,205.760953,-66.410722,90.0,top
D9,197.700953,-71.300722,90.0,top
J1,162.145953,-27.005722,90.0,top
L1,127.901458,-127.516619,270.0,top
LED1,70.23988,-74.33788,270.0,top
LED10,102.886572,-61.638236,90.0,top
LED11,102.886572,-67.988236,90.0,top
LED12,102.886572,-74.347813,90.0,top
LED13,53.086,-31.496,0.0,top
LED14,109.43112,-107.07612,90.0,top
LED15,109.43112,-129.07612,90.0,top
LED16,109.43112,-151.07612,90.0,top
LED17,68.15612,-151.07612,270.0,top
LED18,68.15612,-129.07612,270.0,top
LED19,68.15612,-107.07612,270.0,top
LED2,70.23988,-67.98788,270.0,top
LED3,70.23988,-61.63788,270.0,top
LED4,70.23988,-55.28788,270.0,top
LED5,70.23988,-48.93788,270.0,top
LED6,70.23988,-42.58788,270.0,top
LED7,102.886572,-42.588236,90.0,top
LED8,102.886572,-48.938236,90.0,top
LED9,102.886572,-55.288236,90.0,top
MOT1,68.80088,-98.59188,270.0,top
Q1,157.619458,-117.276619,270.0,top
Q2,77.37088,-97.05188,270.0,top
R1,151.013458,-128.786619,180.0,top
R10,69.68488,-78.25788,90.0,top
R11,91.948,-73.914,0.0,top
R12,143.030953,-50.295722,90.0,top
R13,101.116,-99.984,0.0,top
R14,81.49588,-96.05188,0.0,top
R15,169.440953,-37.280722,270.0,top
R16,92.266,-117.054,180.0,top
R17,88.686,-144.794,180.0,top
R2,148.660935,-128.826532,180.0,top
R3,163.019338,-124.281999,0.0,top
R4,167.489338,-124.281999,180.0,top
R5,150.890458,-120.023619,0.0,top
R6,154.063458,-120.150619,180.0,top
R7,135.267458,-121.016119,270.0,top
R8,133.743458,-120.912619,90.0,top
R9,148.729458,-118.372619,90.0,top
SW1,139.38157,-129.802619,180.0,top
SW2,88.714385,-113.902562,0.0,top
SW3,88.70463,-141.905276,0.0,top
SW4,167.930953,-30.665722,90.0,top
U1,149.745458,-124.468619,180.0,top
U2,154.063458,-117.356619,270.0,top
U3,133.609458,-124.402619,90.0,top
U4,140.615458,-121.698619,0.0,top
U5,86.547546,-71.058415,0.0,top
U6,154.939524,-39.301259,48.4,top
USB1,165.074338,-128.071999,0.0,top
